first_name,last_name,date_of_birth,date_of_death,mother,father,reign_start,reign_end,house,spouse,canonical_name,wikidata_uri,gender
Mary,Anne of Great Britain,1685-06-02,1687-02-08,Anne of Great Britain,"Prince George, Duke of Cumberland",,,House of Stuart,,Mary Anne of Great Britain (1685–1687),http://www.wikidata.org/entity/Q75381643,female
Anne,Sophia Oldenburg,1686-05-12,1687-02-02,Anne of Great Britain,"Prince George, Duke of Cumberland",,,House of Stuart,,Anne Sophia Oldenburg (1686–1687),http://www.wikidata.org/entity/Q75381645,female
James,"Francis Edward Stuart, Prince of Wales",1688-06-10,1766-01-01,Mary of Modena,James II of England,,,House of Stuart,Maria Clementina Sobieska,"James Francis Edward Stuart, Prince of Wales (1688–1766)",http://www.wikidata.org/entity/Q211681,male
Prince,"William, Duke of Gloucester",1689-08-03,1700-08-10,Anne of Great Britain,"Prince George, Duke of Cumberland",,,House of Stuart,,"Prince William, Duke of Gloucester (1689–1700)",http://www.wikidata.org/entity/Q744541,male
Mary,Oldenburg,1690-10-14,1690-10-14,Anne of Great Britain,"Prince George, Duke of Cumberland",,,House of Stuart,,Mary Oldenburg (1690–1690),http://www.wikidata.org/entity/Q75381647,female
George,Oldenburg,1692-04-17,1692-04-17,Anne of Great Britain,"Prince George, Duke of Cumberland",,,House of Stuart,,George Oldenburg (1692–1692),http://www.wikidata.org/entity/Q18228501,male
Louisa,Maria Stuart,1692-06-28,1712-04-18,Mary of Modena,James II of England,,,House of Stuart,,Louisa Maria Stuart (1692–1712),http://www.wikidata.org/entity/Q271999,female
Louisa,"Berkeley, Countess of Berkeley",1694-12-24,1716-01-15,"Anne Lennox, Duchess of Richmond","Charles Lennox, 1st Duke of Richmond",,,House of Stuart,"James Berkeley, 3rd Earl of Berkeley","Louisa Berkeley, Countess of Berkeley (1694–1716)",http://www.wikidata.org/entity/Q3837636,female
Charles,"Beauclerk, 2nd Duke of St Albans",1696-04-06,1751-07-27,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Lucy Werden,"Charles Beauclerk, 2nd Duke of St Albans (1696–1751)",http://www.wikidata.org/entity/Q3666340,male
James,"Fitz-James Stuart, 2nd Duke of Berwick",1696-10-21,1738-06-02,Honora Burke,"James FitzJames, 1st Duke of Berwick",,,House of Stuart,Catalina Ventura de Portugal-Columbus,"James Fitz-James Stuart, 2nd Duke of Berwick (1696–1738)",http://www.wikidata.org/entity/Q952446,male
Lord,William Beauclerk,1698-05-22,1732-02-23,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Charlotte Werden,Lord William Beauclerk (1698–1732),http://www.wikidata.org/entity/Q28064865,male
Vere,"Beauclerk, 1st Baron Vere",1699-07-14,1781-10-21,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Mary Chambers,"Vere Beauclerk, 1st Baron Vere (1699–1781)",http://www.wikidata.org/entity/Q135111,male
Charles,"Lennox, 2nd Duke of Richmond",1701-05-18,1750-08-08,"Anne Lennox, Duchess of Richmond","Charles Lennox, 1st Duke of Richmond",,,House of Stuart,"Sarah Lennox, Duchess of Richmond and Lennox","Charles Lennox, 2nd Duke of Richmond (1701–1750)",http://www.wikidata.org/entity/Q966008,male
Lord,Henry Beauclerk,1701-08-11,1761-01-05,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Martha Beauclerk,Lord Henry Beauclerk (1701–1761),http://www.wikidata.org/entity/Q24238793,male
Henry,Jacques de Fitz-James,1702-11-15,1721-10-13,Anne Bulkeley,"James FitzJames, 1st Duke of Berwick",,,House of Stuart,Vitória Felicite de Durfort,Henry Jacques de Fitz-James (1702–1721),http://www.wikidata.org/entity/Q18332032,male
Lord,Sidney Beauclerk,1703-02-27,1744-11-23,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Mary Norris,Lord Sidney Beauclerk (1703–1744),http://www.wikidata.org/entity/Q135071,male
Anne,"van Keppel, Countess of Albemarle",1703-06-24,1789-10-20,"Anne Lennox, Duchess of Richmond","Charles Lennox, 1st Duke of Richmond",,,House of Stuart,"Willem van Keppel, 2nd Earl of Albemarle","Anne van Keppel, Countess of Albemarle (1703–1789)",http://www.wikidata.org/entity/Q2851177,female
Lord,George Beauclerk,1704-12-26,1768-05-11,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Margaret Bainbridge,Lord George Beauclerk (1704–1768),http://www.wikidata.org/entity/Q6679274,male
Lord,Seymour Beauclerk,1708-06-24,1708-07-01,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,,Lord Seymour Beauclerk (1708–1708),http://www.wikidata.org/entity/Q75251024,male
Lord,James Beauclerk,1709-01-01,1787-10-20,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,,Lord James Beauclerk (1709–1787),http://www.wikidata.org/entity/Q16203508,male
François,de Fitz-James,1709-01-09,1764-07-19,Anne Bulkeley,"James FitzJames, 1st Duke of Berwick",,,House of Stuart,,François de Fitz-James (1709–1764),http://www.wikidata.org/entity/Q3086190,male
Lord,Aubrey Beauclerk,1710-01-01,1741-03-22,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans",,,House of Stuart,Catherine Newton,Lord Aubrey Beauclerk (1710–1741),http://www.wikidata.org/entity/Q6678937,male
Henri,de Fitz-James,1711-09-08,1731-01-01,Anne Bulkeley,"James FitzJames, 1st Duke of Berwick",,,House of Stuart,,Henri de Fitz-James (1711–1731),http://www.wikidata.org/entity/Q18331962,male
Charles,"de Fitz-James, 4th Duke of Fitz-James",1712-11-04,1787-03-22,Anne Bulkeley,"James FitzJames, 1st Duke of Berwick",,,House of Stuart,Victoire Louise Josephe Goyon de Matignon,"Charles de Fitz-James, 4th Duke of Fitz-James (1712–1787)",http://www.wikidata.org/entity/Q2960573,male
Charles,Edward Stuart,1720-12-31,1788-01-31,Maria Clementina Sobieska,"James Francis Edward Stuart, Prince of Wales",,,House of Hanover,Princess Louise of Stolberg-Gedern,Charles Edward Stuart (1720–1788),http://www.wikidata.org/entity/Q312581,male
Henry,Benedict Stuart,1725-03-06,1807-07-13,Maria Clementina Sobieska,"James Francis Edward Stuart, Prince of Wales",,,House of Hanover,,Henry Benedict Stuart (1725–1807),http://www.wikidata.org/entity/Q318219,male
George,V,1865-06-03,1936-01-20,Alexandra of Denmark,Edward VII,1927-04-12,1936-01-20,House of Windsor,,George V (1865–1936),http://www.wikidata.org/entity/Q269412,male
Edward,VIII,1894-06-23,1972-05-28,Mary of Teck,George V,1936-01-20,1936-12-11,House of Windsor,Wallis Simpson,Edward VIII (1894–1972),http://www.wikidata.org/entity/Q590227,male
George,VI,1895-12-14,1952-02-06,Mary of Teck,George V,1936-12-11,1952-02-06,House of Windsor,"Queen Elizabeth, The Queen Mother",George VI (1895–1952),http://www.wikidata.org/entity/Q280856,male
"Mary,",Princess Royal and Countess of Harewood,1897-04-25,1965-03-28,Mary of Teck,George V,,,House of Hanover,"Henry Lascelles, 6th Earl of Harewood","Mary, Princess Royal and Countess of Harewood (1897–1965)",http://www.wikidata.org/entity/Q233913,female
Prince,"Henry, Duke of Gloucester",1900-03-31,1974-06-10,Mary of Teck,George V,,,House of Hanover,"Princess Alice, Duchess of Gloucester","Prince Henry, Duke of Gloucester (1900–1974)",http://www.wikidata.org/entity/Q117174,male
Prince,"George, Duke of Kent",1902-12-20,1942-08-25,Mary of Teck,George V,,,House of Saxe-Coburg and Gotha,Princess Marina of Greece and Denmark,"Prince George, Duke of Kent (1902–1942)",http://www.wikidata.org/entity/Q160770,male
Prince,John of the United Kingdom,1905-07-12,1919-01-18,Mary of Teck,George V,,,House of Saxe-Coburg and Gotha,,Prince John of the United Kingdom (1905–1919),http://www.wikidata.org/entity/Q310488,male
Elizabeth,II,1926-04-21,2022-09-08,"Queen Elizabeth, The Queen Mother",George VI,1952-02-06,2022-09-08,House of Windsor,"Prince Philip, Duke of Edinburgh",Elizabeth II (1926–2022),http://www.wikidata.org/entity/Q9682,female
Princess,"Margaret, Countess of Snowdon",1930-08-21,2002-02-09,"Queen Elizabeth, The Queen Mother",George VI,,,House of Windsor,"Antony Armstrong-Jones, 1st Earl of Snowdon","Princess Margaret, Countess of Snowdon (1930–2002)",http://www.wikidata.org/entity/Q153815,female
Prince,"Edward, Duke of Kent",1935-10-09,,Princess Marina of Greece and Denmark,"Prince George, Duke of Kent",,,House of Windsor,"Katharine, Duchess of Kent","Prince Edward, Duke of Kent (b. 1935)",http://www.wikidata.org/entity/Q158258,male
Princess,"Alexandra, Lady Ogilvy",1936-12-25,,Princess Marina of Greece and Denmark,"Prince George, Duke of Kent",,,House of Windsor,Angus Ogilvy,"Princess Alexandra, Lady Ogilvy (b. 1936)",http://www.wikidata.org/entity/Q170191,female
Prince,William of Gloucester,1941-12-18,1972-08-28,"Princess Alice, Duchess of Gloucester","Prince Henry, Duke of Gloucester",,,House of Windsor,,Prince William of Gloucester (1941–1972),http://www.wikidata.org/entity/Q657778,male
Prince,Michael of Kent,1942-07-04,,Princess Marina of Greece and Denmark,"Prince George, Duke of Kent",,,House of Windsor,"Marie Christine, Princess Michael of Kent",Prince Michael of Kent (b. 1942),http://www.wikidata.org/entity/Q313752,male
Prince,"Richard, Duke of Gloucester",1944-08-26,,"Princess Alice, Duchess of Gloucester","Prince Henry, Duke of Gloucester",,,House of Windsor,"Birgitte, Duchess of Gloucester","Prince Richard, Duke of Gloucester (b. 1944)",http://www.wikidata.org/entity/Q170294,male
Charles,III,1948-11-14,,Elizabeth II,"Prince Philip, Duke of Edinburgh",2022-09-08,,House of Windsor,Queen Camilla,Charles III (b. 1948),http://www.wikidata.org/entity/Q43274,male
"Anne,",Princess Royal,1950-08-15,,Elizabeth II,"Prince Philip, Duke of Edinburgh",,,House of Windsor,Timothy Laurence,"Anne, Princess Royal (b. 1950)",http://www.wikidata.org/entity/Q151754,female
Andrew,Mountbatten Windsor,1960-02-19,,Elizabeth II,"Prince Philip, Duke of Edinburgh",,,House of Windsor,Sarah Ferguson,Andrew Mountbatten Windsor (b. 1960),http://www.wikidata.org/entity/Q153330,male
Prince,"Edward, Duke of Edinburgh",1964-03-10,,Elizabeth II,"Prince Philip, Duke of Edinburgh",,,House of Windsor,"Sophie, Duchess of Edinburgh","Prince Edward, Duke of Edinburgh (b. 1964)",http://www.wikidata.org/entity/Q154920,male
Peter,Phillips,1977-11-15,,"Anne, Princess Royal",Mark Phillips,,,House of Windsor,Autumn Phillips,Peter Phillips (b. 1977),http://www.wikidata.org/entity/Q344908,male
Zara,Tindall,1981-05-15,,"Anne, Princess Royal",Mark Phillips,,,House of Windsor,Mike Tindall,Zara Tindall (b. 1981),http://www.wikidata.org/entity/Q147663,female
"William,",Prince of Wales,1982-06-21,,"Diana, Princess of Wales",Charles III,,,House of Windsor,"Catherine, Princess of Wales","William, Prince of Wales (b. 1982)",http://www.wikidata.org/entity/Q36812,male
Prince,"Harry, Duke of Sussex",1984-09-15,,"Diana, Princess of Wales",Charles III,,,House of Windsor,"Meghan, Duchess of Sussex","Prince Harry, Duke of Sussex (b. 1984)",http://www.wikidata.org/entity/Q152316,male
Prince,George of Wales,2013-07-22,,"Catherine, Princess of Wales","William, Prince of Wales",,,House of Windsor,,Prince George of Wales (b. 2013),http://www.wikidata.org/entity/Q13590412,male
Princess,Charlotte of Wales,2015-05-02,,"Catherine, Princess of Wales","William, Prince of Wales",,,House of Windsor,,Princess Charlotte of Wales (b. 2015),http://www.wikidata.org/entity/Q18002970,female
Prince,Louis of Wales,2018-04-23,,"Catherine, Princess of Wales","William, Prince of Wales",,,House of Windsor,,Prince Louis of Wales (b. 2018),http://www.wikidata.org/entity/Q38668629,male
Prince,Archie of Sussex,2019-05-06,,"Meghan, Duchess of Sussex","Prince Harry, Duke of Sussex",,,House of Windsor,,Prince Archie of Sussex (b. 2019),http://www.wikidata.org/entity/Q62938826,male
Princess,Lilibet of Sussex,2021-06-04,,"Meghan, Duchess of Sussex","Prince Harry, Duke of Sussex",,,House of Windsor,,Princess Lilibet of Sussex (b. 2021),http://www.wikidata.org/entity/Q107125551,female
